,Company,Default Probabilities
0,Kelley and Sons,0.48874671620076243
1,"Estrada, Barry and Miranda",-0.5120459456929684
2,Bradley PLC,-0.35654785350079365
3,Robles Group,-0.23731038121532108
4,Horn Inc,0.5816020663392402
5,Matthews-Wilson,0.4514354527811404
6,Armstrong Ltd,-0.01484215711709122
7,"Smith, Roberts and Reyes",1.8450075883795518
8,Buck-Olson,-0.8922439550486164
9,Williams Group,1.8101256628871025
10,Mann-Gregory,0.1077955892553423
11,Huerta and Sons,-0.49918313441258516
12,Barrett Inc,-0.1794051715556895
13,"Sanchez, Stevens and Price",0.17121589508384913
14,Sanford-Lucas,0.6550531434808526
15,Golden-Mitchell,0.19789980679816022
16,"White, Munoz and Booth",2.054221042374729
17,Hughes-Schneider,-1.6238747188859568
18,"Foster, Hernandez and Jones",0.6017117452536218
19,Price Group,0.9659911257562229
20,Roberts Group,-0.0991606482947436
21,Blevins-Perez,-1.6962902342360475
22,"Padilla, Evans and Nguyen",0.638207055787475
23,"Thompson, Oconnor and Potts",-0.12986700712181223
24,"Mccoy, Chavez and Harper",0.27260154068878917
25,Frazier Ltd,-0.6109283183846436
26,Kline and Sons,-0.8383669284605686
27,Jenkins-Shaw,-0.15713501341756425
28,Mann PLC,0.5588339729980515
29,Carter-Cox,0.9477354766931005
30,"Werner, Porter and Webb",1.5859904014166337
31,Williams LLC,-0.3695468373117528
32,Martin Ltd,-0.9980582549054481
33,"Frank, Craig and Brown",-0.9189540716063658
34,Macias-Castaneda,-0.1505695853834402
35,"Keller, Scott and Galloway",-1.283784383814274
36,Pearson and Sons,1.0133472242048456
37,Austin-Price,0.31579416712492697
38,Beasley PLC,-0.8230924914676869
39,Valdez-Rogers,0.2234229495271193
40,Wang LLC,0.5643650684419279
41,Salazar PLC,-0.4507774118560033
42,"Christian, Knox and Thomas",0.02912779593150048
43,Mcintyre and Sons,-0.936184797158763
44,Holmes and Sons,0.6383812465755607
45,"Arnold, Collins and Edwards",0.050434736058080354
46,"Jones, Dominguez and Johnson",-0.6365896493044506
47,Brown and Sons,0.07872935237367513
48,Moore-Edwards,-0.24715567196532826
49,Peterson Ltd,-0.7152753596565857
50,Smith-Herrera,-0.2816962898073032
51,Huff PLC,-1.6573734335319283
52,Brown-Cooper,-0.6468017329963088
53,Santos Inc,-0.4548735303959304
54,Knight-Miller,1.6020092366320526
55,Grant LLC,-0.4589219217056617
56,"Morales, Oneal and Johnson",-1.3523438049701273
57,Williams Ltd,1.8978489469121091
58,Mccullough Group,1.0398151675194982
59,Williams PLC,-0.47275661328367347
60,Duncan-Aguilar,-0.489362907351895
61,Edwards LLC,2.7460168772050197
62,Rush and Sons,1.1173670369687463
63,Nelson Ltd,0.18498092984339476
64,"Buckley, Howell and Dunlap",-1.555774392238291
65,"Miller, Brown and Martinez",1.4340434296717355
66,"Alvarado, Nolan and Brown",1.1403344500439967
67,Kane-Webb,0.20811221916390635
68,"Campbell, Castro and Cameron",0.09451639341027676
69,Lawson-Brewer,0.09906526097088915
70,Kemp LLC,-0.5050334090796635
71,"Shea, Walsh and Lane",0.9690811691672567
72,Lopez PLC,-1.0109477402801672
73,Carter-Campos,0.5668399292585334
74,"Mccoy, Lee and Morgan",-0.6552541867544927
75,York Group,-1.3390006910531234
76,"Bean, Mason and Allison",-0.8278345859746855
77,"Daniel, Goodman and Webb",-0.14765884802542661
78,"Moore, Blake and Li",0.32925361312238033
79,"Cohen, Calderon and Martinez",-0.10427654634576511
80,Baker-Waters,0.27522649810941135
81,"Mcguire, Hess and Martin",0.9995789287423213
82,Smith Inc,-0.3922009587267181
83,"Schultz, Jones and Hancock",0.14738170789973035
84,"Nash, Brown and Griffith",-0.5417906922916426
85,Jacobson-Huynh,0.7287995498623238
86,"Jimenez, Ward and Barker",-1.138692005296361
87,"Park, Hernandez and Bryan",-0.0225447114730041
88,Fowler Inc,-1.1869388207884408
89,"Berry, Scott and Hernandez",-0.9380857651391173
90,Powers-Medina,-0.9370754322789819
91,Martin LLC,1.0362081539302928
92,Arnold-Shepherd,-0.07869637831938799
93,"Ramos, Marshall and Cruz",0.9441999945333601
94,Smith-Smith,-0.3726848076988983
95,Lewis Group,-0.20946952117479473
96,Lee-Mcdonald,-0.6703634757666244
97,"Vargas, Cole and Jackson",-0.6734190002775661
98,"Wilson, Merritt and Smith",-0.3353816284991248
99,Robinson-Stephens,-0.22163645356683032
100,"Garcia, Nguyen and Crawford",0.26189170808003065
101,"Pineda, Johnson and Davis",-0.43283742154982674
102,"Garcia, Anderson and Vazquez",-1.1687132309548476
103,Alvarez Ltd,0.5064387841534912
104,Knox-Jackson,-0.07088289080409241
105,Mendez-Freeman,0.13046514377843177
106,"Snyder, Wright and Martinez",-0.9998185203098273
107,Peterson LLC,0.3932168527161376
108,"Keller, Sandoval and Davis",-0.5507790558615037
109,Figueroa-Murphy,0.48551061956698716
110,"Price, Johnson and Green",0.34236006097122507
111,Fletcher-Mitchell,-1.475285070924368
112,Williams-Gentry,-0.5592248489074021
113,"Brown, Harris and Benitez",-0.5204784384701071
114,Price LLC,0.8035586931617924
115,"Morris, Bowman and Wood",0.02824670960391526
116,Cook Group,0.5147062453484771
117,Herman-Ross,-0.16448113010660834
118,"Valdez, Huang and Parker",0.06127738080958485
119,"Villanueva, Wood and Chavez",-0.14691124504182074
120,"Gonzalez, Everett and Lester",1.1178715801238783
121,"Hernandez, Smith and Ramos",0.27776686446798143
122,Santana LLC,0.8451578104955629
123,Grant LLC,0.7704672593351557
124,Pruitt Inc,0.8805163818118712
125,"Bentley, Garcia and Rodriguez",0.3160834368032567
126,Davis PLC,0.07494821251857064
127,Lee LLC,1.6795917050149733
128,Vega-Sosa,0.9311769415123481
129,Brown-Rose,-1.833289776700473
130,Powell-Garcia,-0.27157735798405314
131,Johnston LLC,0.9942617720123663
132,"Wilson, Zimmerman and Li",-1.4313585106603262
133,Jones Inc,0.46566976181884895
134,Hall-King,0.5073147901533887
135,Jefferson PLC,-0.689415143373056
136,Anderson PLC,-1.1895897364147332
137,Griffith-Becker,0.6290327857416612
138,Hall-Elliott,0.016614401230189448
139,"Morse, Gonzalez and Quinn",-0.1597818515560646
140,Curtis-Larson,0.08594396472755314
141,"Middleton, Curtis and Weber",0.15899293470016873
142,"Bell, Jordan and Roberts",-0.10622590856323356
143,Parsons Group,1.7391332305244576
144,"Schneider, Lindsey and Bailey",-0.8177315146314611
145,"Dillon, Mccarthy and Hodges",2.0318099692795855
146,Weber-Petersen,0.3674611053334426
147,Winters PLC,-0.9068321446461199
148,Marquez Ltd,0.09043403848024785
149,Haley-Mccarthy,-1.0371326319568162
150,"Gibbs, Martin and Lucas",0.5782323436091977
151,Frost-Flowers,2.1915594745759512
152,Mitchell PLC,-0.6019175842340175
153,"Reid, Payne and Rivera",1.229795761125335
154,"Nash, Jackson and Stephens",2.0695071151458553
155,"Kelly, Ramsey and Leon",1.9797268709519489
156,"Payne, Rogers and Smith",-0.7046401587312691
157,Martin-Koch,-0.19536644689159086
158,"Marshall, Peterson and Kelly",0.48723424476279176
159,Brock Group,-0.6256460251623247
160,Newton-Taylor,1.240676784925705
161,Foster-Thompson,1.880167346516843
162,Barnett-Torres,0.09653572651377516
163,Weaver Inc,-0.17279126827643787
164,Freeman PLC,-1.5716200012054886
165,Smith-Brown,-0.4044053093699596
166,Hill PLC,2.4083784699081865
167,Lopez-Santos,0.5846641634998313
168,Mcbride-Mason,-0.43215551751258763
169,Murphy Group,1.5056069486750123
170,"Ramirez, Martinez and Campbell",-1.1204022429363358
171,Henderson-Harris,0.4467903325632107
172,"Lane, Robertson and Porter",0.49720138581148376
173,Briggs Ltd,1.237372001843009
174,"Holt, Boyd and Ramos",-0.15190777148964243
175,Fields-Smith,0.620101964383941
176,Johnson-Foster,-0.646771906531478
177,Howard-Stewart,0.5201100382730335
178,Marks and Sons,0.5322251531627776
179,"Adams, Nguyen and Obrien",1.8633335714808734
180,Rose-Martinez,0.24779620850275402
181,Richards-Levine,1.5016748611863386
