,Company,Default Probabilities
0,Gill-Schmidt,0.5226389123185988
1,"Frost, Ramsey and Hinton",-0.45463006418521557
2,"Vargas, Drake and Moore",0.4161959669027728
3,"Young, Landry and Galvan",-0.5909850541377034
4,Rhodes-Cameron,0.23427431243301158
5,"Dougherty, Morgan and Allen",-0.005892973836000731
6,Alexander Group,0.04466748580545116
7,"Herrera, Parker and Arellano",-0.26475841668888717
8,Clark-Flores,0.3615089677599109
9,Nolan LLC,-0.1425828271890963
10,Jones Group,-0.538874195606493
11,"Jensen, Brown and Watkins",-0.3768866044012129
12,Wolfe-Burke,0.16208966293587765
13,Johnson LLC,0.3865370933701325
14,"Hamilton, Pham and Fitzgerald",0.0820068618499139
15,Mason-Young,0.9338787397772248
16,"Simpson, Thomas and Rush",0.2115896058117851
17,"Hernandez, Bradley and Davis",0.13700871405558168
18,Garcia Group,0.1339733987541988
19,Barton and Sons,0.05821318901297428
20,Snyder LLC,0.15193147669890397
21,"Perez, Joseph and Chang",0.5427607422738769
22,Taylor-Graham,-0.3408092600687837
23,"Cook, Robertson and Schaefer",0.054177761189323145
24,Moore-Lyons,0.18903330512299518
25,Burton PLC,-0.0712558062318549
26,"Marshall, Spencer and Contreras",0.22200572743542135
27,Watson-Briggs,-0.09233070430297684
28,"Ayers, Walker and Lozano",0.5043320275308857
29,Brown-Nelson,0.08113531509676247
30,Cox-Floyd,0.35284077786915574
31,"Tucker, Mullins and Rose",-0.005338067028954665
32,Huerta-Adams,-0.022617410529679614
33,Porter Group,-0.3310300443711703
34,Grimes PLC,0.1518807675108735
35,Obrien-Clark,0.2990879848257479
36,Smith-Jacobs,0.10155809711558232
37,Ruiz and Sons,0.17836450200078222
38,Hart-Lewis,-0.4949895675686886
39,"Holmes, Walsh and Luna",0.16831707994160783
40,Weber LLC,-0.2189081971740204
41,"Smith, Nichols and Garcia",0.6351190595157372
42,"Sloan, Suarez and Good",-0.13384012459687966
43,Brown Ltd,0.33082479902383605
44,"Scott, Norris and Martinez",0.44743670904843186
45,Butler-Newman,-0.1927982802399592
46,Bowman Inc,0.28119911302363576
47,"Duncan, Bryant and Myers",-0.011242793949974697
48,Oconnor-Kirk,-0.6999669189490392
49,Jenkins-Sanders,-0.3825008358442437
50,Baker Ltd,-0.2452220941953924
51,Kirby-Lopez,-0.0535494075674306
52,Henderson PLC,-0.006153328581647172
53,Harding and Sons,-0.10179770487732744
54,"Murphy, Conway and Hamilton",-0.04614231282539484
55,Graham-Carter,-0.33088125940817625
56,"Young, Bartlett and Green",0.06299377194534468
57,Duncan-Sims,0.00272812967752656
58,Davis-Smith,0.41307618450721
59,Coleman-Daniels,-0.28775771150205826
60,"Jones, Smith and Wells",-0.22947214428204793
61,"Gordon, Valentine and Benton",0.14120219788304905
62,"Smith, Morse and Owens",0.09054235927242486
63,Cummings PLC,-0.28005673598093384
64,Jennings and Sons,0.1319981732028848
65,"Morrow, Thomas and Kelly",-0.2645585104854503
66,Mccoy-Chapman,-0.30878831054099487
67,Perry Group,-0.26327827690701344
68,"Wang, Gonzalez and Soto",0.06048694044732295
69,Coleman and Sons,0.37451265070264556
70,Castillo PLC,0.09150496317349498
71,"Shields, Harris and Lewis",0.3868260587115996
72,Smith-Zimmerman,0.31369382115751837
73,"Perez, Jones and Harris",0.13969343178185514
74,Young Ltd,-0.22911502710449516
75,House-Collier,-0.18549584889050308
76,Warren Ltd,0.06929715778425431
77,"Alvarez, Moore and Smith",0.22694609201491547
78,"Oliver, Velazquez and Salazar",-0.014877591778440384
79,"Castillo, Lin and Stewart",-0.09969577918065532
80,"Erickson, Rowe and Jackson",-0.42772870312360495
81,Hendricks Ltd,-0.3177604199325549
82,"Ward, Williams and Johnson",-0.12372624587168946
83,"Brown, Wilson and Hayes",-0.2613422107598039
84,"Allen, Lee and Williams",-0.27296881929288164
85,"Holt, Nicholson and Thomas",-0.2654358445612404
86,Gardner-Marks,-0.3192942915920776
87,Brown-Ballard,0.10549428939630681
88,"Burnett, Dunn and King",0.140156830017008
89,Bridges Inc,-0.11755200711602307
90,Knight Inc,0.01701183456737576
91,Christian-Brown,0.1070637074931227
92,Torres LLC,-0.2618393363979113
93,Ramsey-Lewis,-0.0007260291350470186
94,"Chen, Davis and Daniels",0.29864785829737495
95,Taylor Inc,-0.11497260042457833
96,"Shaw, Smith and White",0.23858664446971606
97,Garrison-Hayes,0.2264703784039536
98,Daniels Inc,-0.30679337073052615
99,Drake-Williams,-0.1535516313861283
100,"Rollins, Brown and Riley",-0.42126961867700946
101,"Dean, Nelson and Ball",-0.06445183849713328
102,"Brown, Morrison and Moore",0.04354727441852924
103,Hodges-Cooley,0.2414059503227729
104,Alexander Ltd,0.15853043822535648
105,Patel LLC,0.2021543381047913
106,Levine-Waller,-0.2070421106771416
107,Cain-Graves,0.30067175374498295
108,Castillo Inc,-0.5243310223897468
109,Edwards Group,0.17022761926306
110,Thomas and Sons,-0.11197383763772327
111,Thomas Ltd,0.39037879779009294
112,"Pollard, Blanchard and Murray",0.14876536445091032
113,Williams-Rice,-0.0007393995162527637
114,Marshall Group,-0.32699632682306645
115,Chavez-Allen,0.10758363833447178
116,Garrison-Jones,-0.3468750572668673
117,"Johnson, Ford and Kelly",-0.15680452257904165
118,Ramos-Molina,0.28199540326824224
119,Sellers-Lopez,-0.09957729608780995
120,Kelly-Mullins,0.16755152358304856
121,Krueger-Phillips,-0.3478497471966769
122,Potts LLC,0.06250578336561466
123,Pierce-Gardner,0.02919679942367682
124,Berg Ltd,-0.5945677668518178
125,Miller-Monroe,0.009641596195544512
126,Hodge-Dawson,0.5220904318029753
127,Jensen-Ali,0.19329098965701055
128,Wright LLC,0.14064134084649837
129,Brown-Cabrera,0.6241895373097336
130,Tucker-Lopez,0.29680199603923035
131,Harris-Garza,-0.123451151235075
132,"Davis, Hahn and Nelson",-0.08618105867192917
133,"Harper, Sandoval and Gillespie",0.025244718879338057
134,"Booth, Richards and Davis",-0.06915682975160273
135,Harper-Ewing,-0.6683583422743232
136,Turner and Sons,-0.091291312640295
137,"Stephens, Martinez and Lynch",0.17632113455800863
138,"Mccarthy, Hughes and Cox",-0.20938910169401334
139,Elliott Ltd,0.07146157537374731
140,"Bates, Day and Cooke",0.1704664530934969
141,Reynolds Group,-0.13174338603866445
142,Russell-Dunlap,-0.596834657870003
143,"Hughes, Conway and Harvey",0.571655186163065
144,"Morales, Jimenez and Williams",-0.3057688956589383
145,Buchanan Group,0.007374710899305143
146,"Cox, Anderson and Lewis",0.3102013337482719
147,Ortiz PLC,-0.25189426016408567
148,"Fisher, Cox and Cunningham",0.06236039554584398
149,Buchanan Inc,0.1156275345648077
150,"Johnson, Bentley and Burns",-0.47736620167384597
